respondent_id,seasonal_vaccine,xyz_vaccine
26707,0.283987354,0.063214998
26708,0.037294578,0.040464893
26709,0.501920163,0.344333944
26710,0.888548767,0.526989685
26711,0.45947771,0.136750198
26712,0.958652401,0.464326928
26713,0.604999331,0.370347792
26714,0.211533663,0.142782675
26715,0.162967917,0.050550228
26716,0.897214525,0.206971786
26717,0.312524231,0.004082875
26718,0.548609114,0.237753048
26719,0.919522063,0.069068453
26720,0.20395331,0.060896726
26721,0.343504261,0.283505229
26722,0.099614965,0.080562994
26723,0.854012129,0.685810667
26724,0.644785669,0.136523494
26725,0.071655603,0.040279059
26726,0.026620685,0.009282345
26727,0.856058619,0.370052104
26728,0.573979153,0.161727525
26729,0.931208618,0.434396067
26730,0.182064843,0.036653504
26731,0.324371204,0.01055043
26732,0.094580726,0.128305658
26733,0.961586189,0.911231579
26734,0.35066667,0.912851937
26735,0.4943763,0.171300379
26736,0.167078408,0.048870076
26737,0.131027741,0.10403724
26738,0.780003088,0.574288524
26739,0.306326347,0.130954506
26740,0.132764386,0.144463938
26741,0.898508583,0.229529167
26742,0.431227018,0.099973696
26743,0.593460577,0.069350545
26744,0.659503746,0.039862337
26745,0.933460427,0.114130522
26746,0.320937009,0.113632283
26747,0.133053538,0.067817759
26748,0.04485802,0.106629273
26749,0.701109958,0.127828862
26750,0.937217417,0.668860166
26751,0.699073948,0.297611752
26752,0.02788828,0.043809731
26753,0.669014783,0.242813382
26754,0.610431372,0.134641797
26755,0.409831291,0.10460287
26756,0.042753044,0.021522482
26757,0.52048711,0.420782577
26758,0.880096409,0.714261801
26759,0.184579289,0.022114833
26760,0.03930056,0.01319053
26761,0.657527199,0.156489497
26762,0.838209353,0.154238589
26763,0.966260458,0.881778442
26764,0.966907964,0.898851299
26765,0.696474675,0.025851592
26766,0.177135461,0.097060565
26767,0.756644422,0.783665181
26768,0.404928469,0.001020371
26769,0.175218351,0.105305526
26770,0.522144124,0.079868062
26771,0.217265908,0.043471356
26772,0.416808867,0.051924953
26773,0.452905969,0.005273728
26774,0.577606329,0.036639945
26775,0.484788501,0.077856683
26776,0.320638508,0.374352723
26777,0.946084506,0.104591643
26778,0.08270349,0.121060801
26779,0.508715571,0.12007231
26780,0.95769674,0.132487738
26781,0.506192325,0.052089345
26782,0.269516482,0.052908439
26783,0.330824962,0.088389753
26784,0.882130955,0.418557947
26785,0.59369752,0.373415303
26786,0.312776801,0.086542511
26787,0.523201406,0.095665617
26788,0.89890721,0.091689081
26789,0.216331483,0.007220468
26790,0.27847166,0.071861614
26791,0.137556593,0.070311605
26792,0.755964694,0.18139587
26793,0.91175436,0.133939302
26794,0.890401785,0.778117723
26795,0.968970048,0.05192248
26796,0.016988301,0.013502079
26797,0.63666551,0.116991526
26798,0.165078043,0.190142049
26799,0.217871608,0.291682475
26800,0.920110856,0.030224515
26801,0.403907353,0.262031281
26802,0.168608799,0.073351575
26803,0.167964595,0.039476945
26804,0.129753651,0.085187389
26805,0.220343215,0.088739266
26806,0.908388327,0.070090212
26807,0.963343015,0.69642165
26808,0.579832493,0.289818364
26809,0.131726228,0.692141875
26810,0.122907333,0.025606989
26811,0.056451835,0.056164228
26812,0.639985246,0.162846299
26813,0.354725721,0.364472453
26814,0.537859499,0.018366461
26815,0.089331304,0.044111413
26816,0.197790283,0.039328908
26817,0.781786033,0.154850996
26818,0.319136599,0.089600937
26819,0.450408696,0.38363936
26820,0.282106027,0.063111737
26821,0.583952891,0.089047437
26822,0.602934286,0.285752233
26823,0.564033531,0.448427747
26824,0.696604522,0.023354411
26825,0.715893722,0.367151052
26826,0.764729798,0.107114575
26827,0.084001469,0.018610078
26828,0.673088859,0.137133867
26829,0.931768191,0.614996286
26830,0.776056806,0.09382716
26831,0.859835568,0.229734332
26832,0.86367316,0.12931925
26833,0.291597077,0.000651506
26834,0.41823791,0.100432566
26835,0.910131334,0.391368062
26836,0.624690966,0.147143529
26837,0.020922765,0.031225422
26838,0.467062721,0.115516078
26839,0.5228598,0.119552073
26840,0.124354853,0.08500612
26841,0.801918114,0.412498159
26842,0.19498564,0.089600473
26843,0.014839405,0.040536619
26844,0.535895714,0.071387811
26845,0.664308675,0.044493952
26846,0.782106401,0.074607789
26847,0.139695696,0.296766812
26848,0.669809187,0.047056804
26849,0.575668662,0.164002504
26850,0.603110266,0.459716644
26851,0.063762113,0.039378888
26852,0.061354233,0.038702609
26853,0.607170723,0.538071364
26854,0.068066943,0.011066477
26855,0.875138194,0.598814008
26856,0.023508378,0.092054148
26857,0.183460313,0.395696648
26858,0.63297395,0.128646465
26859,0.088212124,0.067875003
26860,0.075480835,0.150273364
26861,0.078132367,0.08884751
26862,0.243803074,0.104920736
26863,0.442684121,0.1922402
26864,0.370588352,0.496912403
26865,0.049107661,0.006417998
26866,0.658290283,0.212170613
26867,0.174610569,0.118742035
26868,0.925958311,0.795344037
26869,0.265025786,0.088351258
26870,0.889998086,0.672441761
26871,0.043094369,0.04710272
26872,0.250792886,0.063179914
26873,0.889180427,0.162143401
26874,0.100656371,0.052549543
26875,0.903544437,0.664362099
26876,0.03446901,0.041780164
26877,0.089873068,0.053180208
26878,0.126708103,0.137778245
26879,0.010889683,0.037833719
26880,0.09672324,0.042442129
26881,0.046810881,0.042659022
26882,0.086028857,0.028232764
26883,0.225857317,0.04546612
26884,0.206591184,0.089859285
26885,0.824937744,0.20820484
26886,0.778073164,0.111994608
26887,0.90653325,0.633885448
26888,0.949149577,0.87718163
26889,0.135668231,0.020546621
26890,0.315391231,0.08709416
26891,0.504835098,0.283415847
26892,0.82263209,0.118299567
26893,0.188592183,0.05414566
26894,0.324766375,0.19530197
26895,0.85761653,0.095599691
26896,0.07694098,0.052285714
26897,0.390214152,0.061382559
26898,0.710070027,0.253705414
26899,0.059195566,0.064724837
26900,0.281206719,0.143523967
26901,0.190634359,0
26902,0.944186712,0.300671498
26903,0.048702954,0.093795627
26904,0.337826246,0.051292334
26905,0.768483849,0.354603884
26906,0.325985338,0.08663907
26907,0.566531906,0.004821926
26908,0.768575526,0.134363679
26909,0.276253748,0.059852654
26910,0.209027883,0.118013857
